,codes,name,links,coord,label,timezone,id,lat,lon,administrative_regions
16,"[{'type': 'source', 'value': '87715201'}, {'type': 'uic', 'value': '87715201'}]",Vaux-et-Chantegrue,[],"{'lat': '46.813674', 'lon': '6.248624'}",Vaux-et-Chantegrue (Vaux-et-Chantegrue),Europe/Paris,stop_area:SNCF:87715201,46.813674,6.248624,"[{'insee': '25592', 'name': 'Vaux-et-Chantegrue', 'level': 8, 'coord': {'lat': '46.8109882', 'lon': '6.2490943'}, 'label': 'Vaux-et-Chantegrue (25160)', 'id': 'admin:fr:25592', 'zip_code': '25160'}]"
17,"[{'type': 'source', 'value': '87381814'}, {'type': 'uic', 'value': '87381814'}]",Vaux-sur-Seine,[],"{'lat': '49.007006', 'lon': '1.963535'}",Vaux-sur-Seine (Vaux-sur-Seine),Europe/Paris,stop_area:SNCF:87381814,49.007006,1.963535,"[{'insee': '78638', 'name': 'Vaux-sur-Seine', 'level': 8, 'coord': {'lat': '49.0061998', 'lon': '1.9636465'}, 'label': 'Vaux-sur-Seine (78740)', 'id': 'admin:fr:78638', 'zip_code': '78740'}]"
18,"[{'type': 'source', 'value': '87297283'}, {'type': 'uic', 'value': '87297283'}]",Vauxaillon,[],"{'lat': '49.47424', 'lon': '3.40953'}",Vauxaillon (Vauxaillon),Europe/Paris,stop_area:SNCF:87297283,49.47424,3.40953,"[{'insee': '02768', 'name': 'Vauxaillon', 'level': 8, 'coord': {'lat': '49.4768989', 'lon': '3.4064731'}, 'label': 'Vauxaillon (02320)', 'id': 'admin:fr:02768', 'zip_code': '02320'}]"
19,"[{'type': 'source', 'value': '87691469'}, {'type': 'uic', 'value': '87691469'}]",Vauzelles,[],"{'lat': '47.001314', 'lon': '3.13488'}",Vauzelles (Varennes-Vauzelles),Europe/Paris,stop_area:SNCF:87691469,47.001314,3.13488,"[{'insee': '58303', 'name': 'Varennes-Vauzelles', 'level': 8, 'coord': {'lat': '47.013196', 'lon': '3.1456935'}, 'label': 'Varennes-Vauzelles (58640)', 'id': 'admin:fr:58303', 'zip_code': '58640'}]"
20,"[{'type': 'source', 'value': '87594739'}, {'type': 'uic', 'value': '87594739'}]",Vayrac,[],"{'lat': '44.950301', 'lon': '1.70635'}",Vayrac (Vayrac),Europe/Paris,stop_area:SNCF:87594739,44.950301,1.70635,"[{'insee': '46330', 'name': 'Vayrac', 'level': 8, 'coord': {'lat': '44.9528114', 'lon': '1.7033294'}, 'label': 'Vayrac (46110)', 'id': 'admin:fr:46330', 'zip_code': '46110'}]"
21,"[{'type': 'source', 'value': '87584714'}, {'type': 'uic', 'value': '87584714'}]",Vayres,[],"{'lat': '44.897326', 'lon': '-0.317169'}",Vayres (Vayres),Europe/Paris,stop_area:SNCF:87584714,44.897326,-0.317169,"[{'insee': '33539', 'name': 'Vayres', 'level': 8, 'coord': {'lat': '44.8974025', 'lon': '-0.3205945'}, 'label': 'Vayres (33870)', 'id': 'admin:fr:33539', 'zip_code': '33870'}]"
22,"[{'type': 'source', 'value': '87726208'}, {'type': 'uic', 'value': '87726208'}]",Veauche - Saint-Galmier,[],"{'lat': '45.565928', 'lon': '4.293438'}",Veauche - Saint-Galmier (Veauche),Europe/Paris,stop_area:SNCF:87726208,45.565928,4.293438,"[{'insee': '42323', 'name': 'Veauche', 'level': 8, 'coord': {'lat': '45.5622913', 'lon': '4.2892399'}, 'label': 'Veauche (42340)', 'id': 'admin:fr:42323', 'zip_code': '42340'}]"
23,"[{'type': 'source', 'value': '87611566'}, {'type': 'uic', 'value': '87611566'}]",Vèbre,[],"{'lat': '42.773927', 'lon': '1.719881'}",Vèbre (Vèbre),Europe/Paris,stop_area:SNCF:87611566,42.773927,1.719881,"[{'insee': '09326', 'name': 'Vèbre', 'level': 8, 'coord': {'lat': '42.7755563', 'lon': '1.7229894'}, 'label': 'Vèbre (09310)', 'id': 'admin:fr:09326', 'zip_code': '09310'}]"
24,"[{'type': 'source', 'value': '87144469'}, {'type': 'uic', 'value': '87144469'}]",Vecoux Eglise,[],"{'lat': '47.978689', 'lon': '6.636391'}",Vecoux Eglise (Vecoux),Europe/Paris,stop_area:SNCF:87144469,47.978689,6.636391,"[{'insee': '88498', 'name': 'Vecoux', 'level': 8, 'coord': {'lat': '47.9805228', 'lon': '6.6378081'}, 'label': 'Vecoux (88200)', 'id': 'admin:fr:88498', 'zip_code': '88200'}]"
0,"[{'type': 'source', 'value': '87338178'}, {'type': 'uic', 'value': '87338178'}]",Vecqueville,[],"{'lat': '48.457357', 'lon': '5.143001'}",Vecqueville (Vecqueville),Europe/Paris,stop_area:SNCF:87338178,48.457357,5.143001,"[{'insee': '52512', 'name': 'Vecqueville', 'level': 8, 'coord': {'lat': '48.45828', 'lon': '5.13999'}, 'label': 'Vecqueville (52300)', 'id': 'admin:fr:52512', 'zip_code': '52300'}]"
1,"[{'type': 'source', 'value': '87571414'}, {'type': 'uic', 'value': '87571414'}]",Veigné,[],"{'lat': '47.291227', 'lon': '0.73488'}",Veigné (Veigné),Europe/Paris,stop_area:SNCF:87571414,47.291227,0.73488,"[{'insee': '37266', 'name': 'Veigné', 'level': 8, 'coord': {'lat': '47.2869884', 'lon': '0.7409855'}, 'label': 'Veigné (37250)', 'id': 'admin:fr:37266', 'zip_code': '37250'}]"
2,"[{'type': 'source', 'value': '87712331'}, {'type': 'uic', 'value': '87712331'}]",Velars,[],"{'lat': '47.32652', 'lon': '4.92746'}",Velars (Velars-sur-Ouche),Europe/Paris,stop_area:SNCF:87712331,47.32652,4.92746,"[{'insee': '21661', 'name': 'Velars-sur-Ouche', 'level': 8, 'coord': {'lat': '47.3193952', 'lon': '4.9041174'}, 'label': 'Velars-sur-Ouche (21370)', 'id': 'admin:fr:21661', 'zip_code': '21370'}]"
3,"[{'type': 'source', 'value': '87584177'}, {'type': 'uic', 'value': '87584177'}]",Vélines,[],"{'lat': '44.852029', 'lon': '0.10351'}",Vélines (Vélines),Europe/Paris,stop_area:SNCF:87584177,44.852029,0.10351,"[{'insee': '24568', 'name': 'Vélines', 'level': 8, 'coord': {'lat': '44.8593413', 'lon': '0.1073984'}, 'label': 'Vélines (24230)', 'id': 'admin:fr:24568', 'zip_code': '24230'}]"
4,"[{'type': 'source', 'value': '87334177'}, {'type': 'uic', 'value': '87334177'}]",Velluire,[],"{'lat': '46.403883', 'lon': '-0.895557'}",Velluire (Les Velluire-sur-Vendée),Europe/Paris,stop_area:SNCF:87334177,46.403883,-0.895557,"[{'insee': '85177', 'name': 'Les Velluire-sur-Vendée', 'level': 8, 'coord': {'lat': '46.4108469', 'lon': '-0.8959236'}, 'label': 'Les Velluire-sur-Vendée (85770)', 'id': 'admin:fr:85177', 'zip_code': '85770'}]"
5,"[{'type': 'source', 'value': '87212118'}, {'type': 'uic', 'value': '87212118'}]",Vendenheim,[],"{'lat': '48.665922', 'lon': '7.717777'}",Vendenheim (Vendenheim),Europe/Paris,stop_area:SNCF:87212118,48.665922,7.717777,"[{'insee': '67506', 'name': 'Vendenheim', 'level': 8, 'coord': {'lat': '48.6656016', 'lon': '7.7109609'}, 'label': 'Vendenheim (67550)', 'id': 'admin:fr:67506', 'zip_code': '67550'}]"
6,"[{'type': 'source', 'value': '87645283'}, {'type': 'uic', 'value': '87645283'}]",Vendes,[],"{'lat': '45.296297', 'lon': '2.388322'}",Vendes (Méallet),Europe/Paris,stop_area:SNCF:87645283,45.296297,2.388322,"[{'insee': '15123', 'name': 'Méallet', 'level': 8, 'coord': {'lat': '45.2552449', 'lon': '2.4305425'}, 'label': 'Méallet (15200)', 'id': 'admin:fr:15123', 'zip_code': '15200'}]"
7,"[{'type': 'source', 'value': '87118257'}, {'type': 'uic', 'value': '87118257'}]",Vendeuvre,[],"{'lat': '48.240069', 'lon': '4.467214'}",Vendeuvre (Vendeuvre-sur-Barse),Europe/Paris,stop_area:SNCF:87118257,48.240069,4.467214,"[{'insee': '10401', 'name': 'Vendeuvre-sur-Barse', 'level': 8, 'coord': {'lat': '48.2363367', 'lon': '4.464399'}, 'label': 'Vendeuvre-sur-Barse (10140)', 'id': 'admin:fr:10401', 'zip_code': '10140'}]"
8,"[{'type': 'source', 'value': '87215947'}, {'type': 'uic', 'value': '87215947'}]",Vendeuvre-sur-Barse Centre,[],"{'lat': '48.237519', 'lon': '4.466975'}",Vendeuvre-sur-Barse Centre (Vendeuvre-sur-Barse),Europe/Paris,stop_area:SNCF:87215947,48.237519,4.466975,"[{'insee': '10401', 'name': 'Vendeuvre-sur-Barse', 'level': 8, 'coord': {'lat': '48.2363367', 'lon': '4.464399'}, 'label': 'Vendeuvre-sur-Barse (10140)', 'id': 'admin:fr:10401', 'zip_code': '10140'}]"
9,"[{'type': 'source', 'value': '87574558'}, {'type': 'uic', 'value': '87574558'}]",Vendôme,[],"{'lat': '47.801959', 'lon': '1.068219'}",Vendôme (Vendôme),Europe/Paris,stop_area:SNCF:87574558,47.801959,1.068219,"[{'insee': '41269', 'name': 'Vendôme', 'level': 8, 'coord': {'lat': '47.7934453', 'lon': '1.0662256'}, 'label': 'Vendôme (41100)', 'id': 'admin:fr:41269', 'zip_code': '41100'}]"
